game_id,data_type,mode,team_era,roster_reference,quarter_length_seconds,regulation_quarters,overtime_enabled,stamina_enabled,side_1_player_a,side_1_player_b,side_2_player_a,side_2_player_b,side_1_nba_team,side_2_nba_team,side_1_team_strength_assumed,side_2_team_strength_assumed,side_1_final_score,side_2_final_score,winner_side,side_1_wins,simulated_pre_game_p_side_1_win
SIM0035,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Sam,Brian,Ben,Ryan,1995-96 Chicago Bulls,2013-14 San Antonio Spurs,97,94,49,42,1,1,0.3989
SIM0036,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Max,Sam,Corwin,Ben,1976-77 Philadelphia 76ers,2016-17 Golden State Warriors,89,98,21,33,2,0,0.4411
SIM0037,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Dbart,Corwin,Brian,Ben,1985-86 Atlanta Hawks,1986-87 Los Angeles Lakers,85,96,23,25,2,0,0.2932
SIM0038,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Ryan,Max,Paul,Sam,2012-13 Miami Heat,2005-06 Miami Heat,94,90,38,30,1,1,0.5465
SIM0039,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Corwin,Brian,Sam,Ben,2018-19 Toronto Raptors,1995-96 Chicago Bulls,93,97,44,59,2,0,0.2491
SIM0040,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Corwin,Sam,Paul,Ben,2012-13 Miami Heat,1971-72 New York Knicks,94,88,37,36,1,1,0.4106
SIM0041,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Ben,Ryan,Max,Brian,2006-07 Golden State Warriors,2006-07 Cleveland Cavaliers,83,86,43,30,1,1,0.5564
SIM0042,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Ben,Corwin,Max,Paul,2007-08 Boston Celtics,2012-13 Miami Heat,94,94,34,48,2,0,0.4317
SIM0043,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Paul,Max,Ryan,Sam,2016-17 Golden State Warriors,1970-71 Milwaukee Bucks,98,94,53,31,1,1,0.6349
SIM0044,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Ryan,Paul,Brian,Corwin,1993-94 Houston Rockets,2016-17 Golden State Warriors,92,98,45,39,1,1,0.5894
SIM0045,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Dbart,Corwin,Ryan,Brian,2015-16 Golden State Warriors,2007-08 Boston Celtics,95,94,44,53,2,0,0.5117
SIM0046,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Corwin,Brian,Jackson,Max,2015-16 Golden State Warriors,1970-71 Milwaukee Bucks,95,94,29,52,2,0,0.2414
SIM0047,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Paul,Jackson,Ben,Dbart,2013-14 San Antonio Spurs,2000-01 Los Angeles Lakers,94,96,31,37,2,0,0.5679
SIM0048,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Corwin,Brian,Jackson,Ben,2011-12 New York Knicks,2006-07 Cleveland Cavaliers,82,86,27,46,2,0,0.1869
SIM0049,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Corwin,Ryan,Dbart,Sam,2011-12 Oklahoma City Thunder,2005-06 Memphis Grizzlies,91,77,39,40,2,0,0.6154
SIM0050,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Ryan,Dbart,Paul,Corwin,1970-71 Milwaukee Bucks,1985-86 Atlanta Hawks,94,85,49,29,1,1,0.5814
SIM0051,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Max,Jackson,Brian,Ryan,1985-86 Atlanta Hawks,1976-77 Philadelphia 76ers,85,89,47,27,1,1,0.6946
SIM0052,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Corwin,Max,Brian,Sam,1995-96 Chicago Bulls,2007-08 Boston Celtics,97,94,19,27,2,0,0.6023
SIM0053,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Paul,Ryan,Max,Brian,1985-86 Atlanta Hawks,2012-13 Miami Heat,85,94,40,43,2,0,0.4411
SIM0054,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Corwin,Paul,Brian,Ryan,2000-01 Los Angeles Lakers,2013-14 San Antonio Spurs,96,94,38,46,2,0,0.5911
SIM0055,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Dbart,Sam,Max,Corwin,2007-08 Denver Nuggets,1995-96 Chicago Bulls,85,97,26,46,2,0,0.3426
SIM0056,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Paul,Ryan,Jackson,Dbart,2012-13 Miami Heat,2000-01 Los Angeles Lakers,94,96,39,29,1,1,0.4313
SIM0057,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Ryan,Sam,Paul,Jackson,1991-92 Chicago Bulls,2009-10 Portland Trail Blazers,95,82,50,31,1,1,0.5142
SIM0058,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Ben,Dbart,Jackson,Paul,2015-16 Golden State Warriors,1976-77 Philadelphia 76ers,95,89,29,50,2,0,0.4783
SIM0059,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Ben,Corwin,Sam,Dbart,2010-11 Dallas Mavericks,2015-16 Cleveland Cavaliers,91,93,42,40,1,1,0.5225
SIM0060,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Paul,Sam,Ryan,Corwin,2003-04 Detroit Pistons,2015-16 Golden State Warriors,92,95,28,38,2,0,0.5789
SIM0061,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Jackson,Corwin,Max,Ryan,2015-16 Cleveland Cavaliers,2006-07 Golden State Warriors,93,83,42,37,1,1,0.6146
SIM0062,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Ryan,Dbart,Max,Ben,2016-17 Golden State Warriors,2011-12 New York Knicks,98,82,52,54,2,0,0.5033
SIM0063,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Jackson,Brian,Dbart,Corwin,2007-08 Denver Nuggets,1986-87 Los Angeles Lakers,85,96,23,19,1,1,0.4863
SIM0064,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Brian,Dbart,Jackson,Ryan,2018-19 Toronto Raptors,2000-01 Los Angeles Lakers,93,96,43,35,1,1,0.2759
SIM0065,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Max,Paul,Brian,Sam,1985-86 Boston Celtics,1991-92 Chicago Bulls,96,95,48,41,1,1,0.6656
SIM0066,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Dbart,Jackson,Ben,Paul,2000-01 Los Angeles Lakers,2011-12 Oklahoma City Thunder,96,91,36,49,2,0,0.5125
SIM0067,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Ryan,Dbart,Jackson,Paul,2013-14 San Antonio Spurs,1997-98 Chicago Bulls,94,94,35,36,2,0,0.3245
SIM0068,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Dbart,Brian,Sam,Jackson,2006-07 Cleveland Cavaliers,1985-86 Atlanta Hawks,86,85,28,34,2,0,0.2953
SIM0069,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Corwin,Brian,Ryan,Max,1970-71 Milwaukee Bucks,2005-06 Memphis Grizzlies,94,77,27,33,2,0,0.515
SIM0070,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Paul,Dbart,Ryan,Jackson,1991-92 Chicago Bulls,2012-13 Miami Heat,95,94,35,48,2,0,0.4207
SIM0071,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Ryan,Paul,Sam,Max,2018-19 Toronto Raptors,1971-72 New York Knicks,93,88,46,48,2,0,0.5125
SIM0072,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Dbart,Brian,Max,Ben,2010-11 Dallas Mavericks,2018-19 Toronto Raptors,91,93,45,46,2,0,0.2494
SIM0073,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Brian,Max,Corwin,Ben,2015-16 Golden State Warriors,2000-01 Los Angeles Lakers,95,96,27,45,2,0,0.4428
SIM0074,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Jackson,Dbart,Max,Sam,2006-07 Cleveland Cavaliers,1993-94 Houston Rockets,86,92,45,56,2,0,0.4305
SIM0075,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Max,Brian,Jackson,Corwin,1971-72 New York Knicks,1976-77 Philadelphia 76ers,88,89,29,39,2,0,0.4203
SIM0076,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Brian,Max,Dbart,Ryan,2010-11 Chicago Bulls,2006-07 Golden State Warriors,89,83,50,36,1,1,0.5919
SIM0077,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Ryan,Dbart,Ben,Sam,2006-07 Cleveland Cavaliers,2007-08 Denver Nuggets,86,85,34,51,2,0,0.3768
SIM0078,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Ryan,Ben,Max,Jackson,2006-07 Golden State Warriors,2013-14 San Antonio Spurs,83,94,25,39,2,0,0.2932
SIM0079,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Max,Dbart,Ryan,Paul,2000-01 Los Angeles Lakers,2007-08 Denver Nuggets,96,85,31,40,2,0,0.6256
SIM0080,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Corwin,Jackson,Paul,Sam,2006-07 Golden State Warriors,1985-86 Atlanta Hawks,83,85,47,38,1,1,0.4767
SIM0081,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Brian,Ryan,Sam,Dbart,2010-11 Chicago Bulls,1986-87 Los Angeles Lakers,89,96,39,52,2,0,0.354
SIM0082,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Max,Ryan,Corwin,Dbart,1985-86 Boston Celtics,2011-12 Oklahoma City Thunder,96,91,53,42,1,1,0.6864
SIM0083,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Sam,Brian,Jackson,Ben,1985-86 Boston Celtics,2018-19 Toronto Raptors,96,93,35,47,2,0,0.2956
SIM0084,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Corwin,Max,Sam,Paul,2007-08 Denver Nuggets,2013-14 Indiana Pacers,85,88,45,43,1,1,0.4199
SIM0085,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Paul,Brian,Corwin,Ben,2015-16 Golden State Warriors,2013-14 San Antonio Spurs,95,94,36,29,1,1,0.4432
SIM0086,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Jackson,Sam,Ben,Dbart,1971-72 New York Knicks,1997-98 Chicago Bulls,88,94,43,32,1,1,0.4988
SIM0087,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Dbart,Ryan,Max,Sam,2009-10 Portland Trail Blazers,2016-17 Golden State Warriors,82,98,41,47,2,0,0.2306
SIM0088,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Paul,Ben,Jackson,Ryan,2000-01 Los Angeles Lakers,2018-19 Toronto Raptors,96,93,64,44,1,1,0.5577
SIM0089,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Paul,Dbart,Corwin,Ben,2013-14 Indiana Pacers,2000-01 Los Angeles Lakers,88,96,38,40,2,0,0.3858
SIM0090,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Paul,Max,Jackson,Dbart,2007-08 Denver Nuggets,1970-71 Milwaukee Bucks,85,94,34,33,1,1,0.4186
SIM0091,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Jackson,Max,Sam,Brian,2010-11 Dallas Mavericks,1991-92 Chicago Bulls,91,95,36,26,1,1,0.6748
SIM0092,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Max,Corwin,Sam,Ryan,2006-07 Cleveland Cavaliers,2010-11 Dallas Mavericks,86,91,38,44,2,0,0.4419
SIM0093,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Brian,Jackson,Ben,Dbart,2013-14 San Antonio Spurs,1993-94 Houston Rockets,94,92,26,29,2,0,0.5004
SIM0094,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Ben,Max,Dbart,Paul,1995-96 Chicago Bulls,2006-07 Golden State Warriors,97,83,35,29,1,1,0.7691
SIM0095,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Dbart,Max,Ryan,Corwin,2000-01 Los Angeles Lakers,2007-08 Denver Nuggets,96,85,39,32,1,1,0.7068
SIM0096,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Sam,Max,Brian,Paul,1976-77 Philadelphia 76ers,1991-92 Chicago Bulls,89,95,44,46,2,0,0.5445
SIM0097,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Ryan,Dbart,Corwin,Sam,2005-06 Memphis Grizzlies,1995-96 Chicago Bulls,77,97,50,53,2,0,0.2822
SIM0098,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Brian,Paul,Jackson,Sam,1991-92 Chicago Bulls,2013-14 Indiana Pacers,95,88,61,31,1,1,0.4219
SIM0099,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Max,Corwin,Ryan,Brian,2006-07 Cleveland Cavaliers,1991-92 Chicago Bulls,86,95,47,39,1,1,0.4867
SIM0100,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Jackson,Brian,Corwin,Paul,2013-14 Indiana Pacers,1985-86 Boston Celtics,88,96,45,37,1,1,0.4526
SIM0101,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Sam,Paul,Ben,Brian,1971-72 New York Knicks,1995-96 Chicago Bulls,88,97,38,48,2,0,0.4411
SIM0102,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Corwin,Jackson,Ryan,Dbart,2009-10 Portland Trail Blazers,2005-06 Memphis Grizzlies,82,77,25,26,2,0,0.6457
SIM0103,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Brian,Dbart,Ryan,Ben,1971-72 New York Knicks,2006-07 Golden State Warriors,88,83,46,41,1,1,0.3775
SIM0104,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Corwin,Jackson,Ryan,Ben,2013-14 San Antonio Spurs,2006-07 Golden State Warriors,94,83,64,38,1,1,0.6039
SIM0105,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Max,Jackson,Ryan,Ben,2011-12 New York Knicks,1970-71 Milwaukee Bucks,82,94,40,42,2,0,0.4518
SIM0106,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Paul,Corwin,Ben,Jackson,1970-71 Milwaukee Bucks,2010-11 Chicago Bulls,94,89,44,36,1,1,0.3563
SIM0107,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Sam,Paul,Brian,Dbart,2013-14 San Antonio Spurs,2018-19 Toronto Raptors,94,93,39,40,2,0,0.6656
SIM0108,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Ben,Paul,Sam,Jackson,2006-07 Cleveland Cavaliers,2006-07 Golden State Warriors,86,83,40,44,2,0,0.5349
SIM0109,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Dbart,Sam,Paul,Ben,2012-13 Miami Heat,1970-71 Milwaukee Bucks,94,94,24,34,2,0,0.3659
SIM0110,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Paul,Max,Ryan,Brian,2007-08 Denver Nuggets,2007-08 Boston Celtics,85,94,46,41,1,1,0.5777
SIM0111,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Dbart,Ben,Paul,Brian,1995-96 Chicago Bulls,2006-07 Golden State Warriors,97,83,40,27,1,1,0.735
SIM0112,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Max,Sam,Paul,Brian,2009-10 Portland Trail Blazers,1995-96 Chicago Bulls,82,97,27,42,2,0,0.4399
SIM0113,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Ben,Jackson,Dbart,Paul,2010-11 Dallas Mavericks,2003-04 Detroit Pistons,91,92,35,45,2,0,0.6652
SIM0114,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Ben,Dbart,Sam,Jackson,2010-11 Dallas Mavericks,1995-96 Chicago Bulls,91,97,26,30,2,0,0.3647
SIM0115,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Brian,Paul,Corwin,Dbart,2016-17 Golden State Warriors,1985-86 Atlanta Hawks,98,85,36,46,2,0,0.6878
SIM0116,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Max,Paul,Corwin,Ben,2003-04 Detroit Pistons,2018-19 Toronto Raptors,92,93,41,32,1,1,0.5568
SIM0117,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Ben,Jackson,Max,Paul,2009-10 Portland Trail Blazers,1997-98 Chicago Bulls,82,94,28,53,2,0,0.4518
SIM0118,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Corwin,Brian,Ryan,Paul,1991-92 Chicago Bulls,1993-94 Houston Rockets,95,92,27,47,2,0,0.3771
SIM0119,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Dbart,Ryan,Brian,Paul,2007-08 Denver Nuggets,1970-71 Milwaukee Bucks,85,94,40,23,1,1,0.3965
SIM0120,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Ben,Max,Ryan,Sam,1976-77 Philadelphia 76ers,1991-92 Chicago Bulls,89,95,57,38,1,1,0.5671
SIM0121,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Corwin,Ryan,Ben,Max,1997-98 Chicago Bulls,1985-86 Boston Celtics,94,96,31,35,2,0,0.2853
SIM0122,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Max,Corwin,Brian,Dbart,2018-19 Toronto Raptors,1991-92 Chicago Bulls,93,95,42,37,1,1,0.5903
SIM0123,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Corwin,Jackson,Paul,Brian,2011-12 Oklahoma City Thunder,2010-11 Chicago Bulls,91,89,43,51,2,0,0.613
SIM0124,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Ben,Jackson,Dbart,Ryan,2018-19 Toronto Raptors,2006-07 Cleveland Cavaliers,93,86,56,37,1,1,0.7761
SIM0125,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Sam,Ryan,Corwin,Paul,2013-14 Indiana Pacers,1985-86 Atlanta Hawks,88,85,26,30,2,0,0.5577
